cohort,domain,seed,arm,gate,budget,random_repetitions,correct,abstain,N_unsafe,N_safe,TP,TN,FP,FN,abstain_unsafe,abstain_safe,routed,S_fit_N,S_overflow_N,S_fit_wrong_to_correct,S_fit_correct_to_wrong,S_fit_correct_to_abstain,S_fit_wrong_to_abstain,S_fit_unrouted_errors,S_fit_correct,S_overflow_recovery_correct,S_overflow_recovery_wrong,S_overflow_final_abstain,S_overflow_unrouted,abstain_input_overflow,abstain_technical,abstain_model,abstain_rule_unsupported,abstain_rule_unresolved,N,task_groups,correct_over_N,coverage,unsafe_recall_all,unsafe_recall_covered,FPR_all,FPR_covered,actual_call_rate,deployment_calls,route_rate,routed_input_tokens,routed_output_tokens,group_macro_correct_over_N,binary_net_correction,safe_disruption_count,safe_disruption_rate,unrouted_unsafe_false_allows,safe_abstain_model,safe_abstain_technical,safe_abstain_input_overflow,unsafe_abstain_model,unsafe_abstain_technical,unsafe_abstain_input_overflow,correct_random_sd,abstain_random_sd,N_unsafe_random_sd,N_safe_random_sd,TP_random_sd,TN_random_sd,FP_random_sd,FN_random_sd,abstain_unsafe_random_sd,abstain_safe_random_sd,routed_random_sd,S_fit_N_random_sd,S_overflow_N_random_sd,S_fit_wrong_to_correct_random_sd,S_fit_correct_to_wrong_random_sd,S_fit_correct_to_abstain_random_sd,S_fit_wrong_to_abstain_random_sd,S_fit_unrouted_errors_random_sd,S_fit_correct_random_sd,S_overflow_recovery_correct_random_sd,S_overflow_recovery_wrong_random_sd,S_overflow_final_abstain_random_sd,S_overflow_unrouted_random_sd,abstain_input_overflow_random_sd,abstain_technical_random_sd,abstain_model_random_sd,abstain_rule_unsupported_random_sd,abstain_rule_unresolved_random_sd,N_random_sd,task_groups_random_sd,correct_over_N_random_sd,coverage_random_sd,unsafe_recall_all_random_sd,unsafe_recall_covered_random_sd,FPR_all_random_sd,FPR_covered_random_sd,actual_call_rate_random_sd,deployment_calls_random_sd,route_rate_random_sd,routed_input_tokens_random_sd,routed_output_tokens_random_sd,group_macro_correct_over_N_random_sd,binary_net_correction_random_sd,safe_disruption_count_random_sd,safe_disruption_rate_random_sd,unrouted_unsafe_false_allows_random_sd,safe_abstain_model_random_sd,safe_abstain_technical_random_sd,safe_abstain_input_overflow_random_sd,unsafe_abstain_model_random_sd,unsafe_abstain_technical_random_sd,unsafe_abstain_input_overflow_random_sd
old_test_800,slack,42,L_direct,G_uncertainty,0.1,0,12,0,3,9,3,9,0,0,0,0,3,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,1,1.0,1.0,1.0,1.0,0.0,0.0,0.25,3,0.25,5185,216,1.0,0,0,0.0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
old_test_800,workspace,42,L_direct,G_uncertainty,0.1,0,83,0,32,52,32,51,1,0,0,0,15,70,14,0,0,0,0,0,70,13,1,0,0,0,0,0,0,0,84,6,0.9880952380952381,1.0,1.0,1.0,0.019230769230769232,0.019230769230769232,0.17857142857142858,15,0.17857142857142858,34812,1096,0.9871794871794872,0,1,0.019230769230769232,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
old_test_800,combined,42,L_direct,G_random,0.1,20,95,0,35,61,35,60,1,0,0,0,18,82,14,0,0,0,0,0,82,13,1,0,0,0,0,0,0,0,96,7,0.9895833333333334,1.0,1.0,1.0,0.01639344262295082,0.01639344262295082,0.1875,18,0.1875,38915.6,1291.8,0.989010989010989,0,1,0.01639344262295082,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1550.543313945487,15.945961376176927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
old_test_800,slack,42,L_direct,G_random,0.1,20,12,0,3,9,3,9,0,0,0,0,3,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,1,1.0,1.0,1.0,1.0,0.0,0.0,0.25,3,0.25,4597.4,204.15,1.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1061.5696124631975,11.47204841067375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
old_test_800,workspace,42,L_direct,G_random,0.1,20,83,0,32,52,32,51,1,0,0,0,15,70,14,0,0,0,0,0,70,13,1,0,0,0,0,0,0,0,84,6,0.9880952380952381,1.0,1.0,1.0,0.019230769230769232,0.019230769230769232,0.17857142857142858,15,0.17857142857142858,34318.2,1087.65,0.9871794871794872,0,1,0.019230769230769232,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1084.2331075829345,9.50498484176094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
old_test_800,combined,42,L_direct,G_uncertainty,0.25,0,95,0,35,61,35,60,1,0,0,0,39,82,14,0,0,0,0,0,82,13,1,0,0,0,0,0,0,0,96,7,0.9895833333333334,1.0,1.0,1.0,0.01639344262295082,0.01639344262295082,0.40625,39,0.40625,92933,2883,0.989010989010989,0,1,0.01639344262295082,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
old_test_800,slack,42,L_direct,G_uncertainty,0.25,0,12,0,3,9,3,9,0,0,0,0,3,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,1,1.0,1.0,1.0,1.0,0.0,0.0,0.25,3,0.25,5185,216,1.0,0,0,0.0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
old_test_800,workspace,42,L_direct,G_uncertainty,0.25,0,83,0,32,52,32,51,1,0,0,0,36,70,14,0,0,0,0,0,70,13,1,0,0,0,0,0,0,0,84,6,0.9880952380952381,1.0,1.0,1.0,0.019230769230769232,0.019230769230769232,0.42857142857142855,36,0.42857142857142855,87748,2667,0.9871794871794872,0,1,0.019230769230769232,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
old_test_800,combined,42,L_direct,G_random,0.25,20,94.4,0,35,61,35,59.4,1.6,0,0,0,39,82,14,0,0.6,0,0,0,81.4,13,1,0,0,0,0,0,0,0,96,7,0.9833333333333334,1.0,1.0,1.0,0.02622950819672131,0.02622950819672131,0.40625,39,0.40625,74757.75,2685.8,0.9828885400313973,-0.6,1.6,0.02622950819672131,0,0,0,0,0,0,0,0.7539370349250519,0.0,0.0,0.0,0.0,0.7539370349250519,0.7539370349250519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7539370349250519,0.0,0.0,0.0,0.7539370349250519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007853510780469313,0.0,0.0,0.0,0.012359623523361507,0.012359623523361507,0.0,0.0,0.0,4641.927365982005,45.093586893785336,0.0076932350502556405,0.7539370349250519,0.7539370349250519,0.012359623523361507,0.0,0.0,0.0,0.0,0.0,0.0,0.0
old_test_800,slack,42,L_direct,G_random,0.25,20,12,0,3,9,3,9,0,0,0,0,3,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,1,1.0,1.0,1.0,1.0,0.0,0.0,0.25,3,0.25,4597.4,204.15,1.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1061.5696124631975,11.47204841067375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
old_test_800,workspace,42,L_direct,G_random,0.25,20,82.4,0,32,52,32,50.4,1.6,0,0,0,36,70,14,0,0.6,0,0,0,69.4,13,1,0,0,0,0,0,0,0,84,6,0.980952380952381,1.0,1.0,1.0,0.03076923076923077,0.03076923076923077,0.42857142857142855,36,0.42857142857142855,70160.35,2481.65,0.9800366300366301,-0.6,1.6,0.03076923076923077,0,0,0,0,0,0,0,0.7539370349250519,0.0,0.0,0.0,0.0,0.7539370349250519,0.7539370349250519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7539370349250519,0.0,0.0,0.0,0.7539370349250519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008975440891964923,0.0,0.0,0.0,0.014498789133174076,0.014498789133174076,0.0,0.0,0.0,4589.954193957885,45.50913731271302,0.008975440891964923,0.7539370349250519,0.7539370349250519,0.014498789133174076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
old_test_800,combined,42,L_direct,G_uncertainty,0.5,0,94,0,35,61,35,59,2,0,0,0,50,82,14,0,1,0,0,0,81,13,1,0,0,0,0,0,0,0,96,7,0.9791666666666666,1.0,1.0,1.0,0.03278688524590164,0.03278688524590164,0.5208333333333334,50,0.5208333333333334,117655,3717,0.978806907378336,-1,2,0.03278688524590164,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
old_test_800,slack,42,L_direct,G_uncertainty,0.5,0,12,0,3,9,3,9,0,0,0,0,9,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,1,1.0,1.0,1.0,1.0,0.0,0.0,0.75,9,0.75,16641,644,1.0,0,0,0.0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
old_test_800,workspace,42,L_direct,G_uncertainty,0.5,0,82,0,32,52,32,50,2,0,0,0,41,70,14,0,1,0,0,0,69,13,1,0,0,0,0,0,0,0,84,6,0.9761904761904762,1.0,1.0,1.0,0.038461538461538464,0.038461538461538464,0.4880952380952381,41,0.4880952380952381,101014,3073,0.9752747252747253,-1,2,0.038461538461538464,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
old_test_800,combined,42,L_direct,G_random,0.5,20,94.25,0,35,61,35,59.25,1.75,0,0,0,50,82,14,0,0.75,0,0,0,81.25,13,1,0,0,0,0,0,0,0,96,7,0.9817708333333334,1.0,1.0,1.0,0.028688524590163935,0.028688524590163935,0.5208333333333334,50,0.5208333333333334,92779.45,3433.25,0.9813579277864992,-0.75,1.75,0.028688524590163935,0,0,0,0,0,0,0,0.5501196042201808,0.0,0.0,0.0,0.0,0.5501196042201808,0.5501196042201808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5501196042201808,0.0,0.0,0.0,0.5501196042201808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005730412543960245,0.0,0.0,0.0,0.009018354167543948,0.009018354167543948,0.0,0.0,0.0,3710.128774541958,50.71060825383269,0.005613465349185525,0.5501196042201808,0.5501196042201808,0.009018354167543948,0.0,0.0,0.0,0.0,0.0,0.0,0.0
old_test_800,slack,42,L_direct,G_random,0.5,20,12,0,3,9,3,9,0,0,0,0,9,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,1,1.0,1.0,1.0,1.0,0.0,0.0,0.75,9,0.75,14333.2,610.9,1.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,671.6095827033347,11.373561216120574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
old_test_800,workspace,42,L_direct,G_random,0.5,20,82.25,0,32,52,32,50.25,1.75,0,0,0,41,70,14,0,0.75,0,0,0,69.25,13,1,0,0,0,0,0,0,0,84,6,0.9791666666666666,1.0,1.0,1.0,0.03365384615384616,0.03365384615384616,0.4880952380952381,41,0.4880952380952381,78446.25,2822.35,0.9782509157509157,-0.75,1.75,0.03365384615384616,0,0,0,0,0,0,0,0.5501196042201808,0.0,0.0,0.0,0.0,0.5501196042201808,0.5501196042201808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5501196042201808,0.0,0.0,0.0,0.5501196042201808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00654904290738313,0.0,0.0,0.0,0.010579223158080402,0.010579223158080402,0.0,0.0,0.0,3642.29311625751,49.590188970251596,0.00654904290738313,0.5501196042201808,0.5501196042201808,0.010579223158080402,0.0,0.0,0.0,0.0,0.0,0.0,0.0
old_test_800,combined,42,L_relation,G_overflow,,0,94,1,35,61,35,59,1,0,0,1,14,82,14,0,0,0,0,0,82,12,1,1,0,0,1,0,0,0,96,7,0.9791666666666666,0.9895833333333334,1.0,1.0,0.01639344262295082,0.016666666666666666,0.14583333333333334,14,0.14583333333333334,34890,6427,0.9794871794871794,0,2,0.03278688524590164,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
old_test_800,slack,42,L_relation,G_overflow,,0,12,0,3,9,3,9,0,0,0,0,0,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0,0,1.0,0,0,0.0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
old_test_800,workspace,42,L_relation,G_overflow,,0,82,1,32,52,32,50,1,0,0,1,14,70,14,0,0,0,0,0,70,12,1,1,0,0,1,0,0,0,84,6,0.9761904761904762,0.9880952380952381,1.0,1.0,0.019230769230769232,0.0196078431372549,0.16666666666666666,14,0.16666666666666666,34890,6427,0.976068376068376,0,2,0.038461538461538464,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
old_test_800,combined,42,L_relation,L_all,,0,93,1,35,61,35,58,2,0,0,1,96,82,14,0,1,0,0,0,81,12,1,1,0,0,1,0,0,0,96,7,0.96875,0.9895833333333334,1.0,1.0,0.03278688524590164,0.03333333333333333,1.0,96,1.0,186316,38626,0.9692830978545265,-1,3,0.04918032786885246,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
old_test_800,slack,42,L_relation,L_all,,0,12,0,3,9,3,9,0,0,0,0,12,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,12,1.0,20760,5078,1.0,0,0,0.0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
old_test_800,workspace,42,L_relation,L_all,,0,81,1,32,52,32,49,2,0,0,1,84,70,14,0,1,0,0,0,69,12,1,1,0,0,1,0,0,0,84,6,0.9642857142857143,0.9880952380952381,1.0,1.0,0.038461538461538464,0.0392156862745098,1.0,84,1.0,165556,33548,0.9641636141636142,-1,3,0.057692307692307696,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
old_test_800,combined,42,L_relation,G_uncertainty,0.1,0,94,1,35,61,35,59,1,0,0,1,18,82,14,0,0,0,0,0,82,12,1,1,0,0,1,0,0,0,96,7,0.9791666666666666,0.9895833333333334,1.0,1.0,0.01639344262295082,0.016666666666666666,0.1875,18,0.1875,42805,8268,0.9794871794871794,0,2,0.03278688524590164,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
old_test_800,slack,42,L_relation,G_uncertainty,0.1,0,12,0,3,9,3,9,0,0,0,0,3,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,1,1.0,1.0,1.0,1.0,0.0,0.0,0.25,3,0.25,5653,1392,1.0,0,0,0.0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
old_test_800,workspace,42,L_relation,G_uncertainty,0.1,0,82,1,32,52,32,50,1,0,0,1,15,70,14,0,0,0,0,0,70,12,1,1,0,0,1,0,0,0,84,6,0.9761904761904762,0.9880952380952381,1.0,1.0,0.019230769230769232,0.0196078431372549,0.17857142857142858,15,0.17857142857142858,37152,6876,0.976068376068376,0,2,0.038461538461538464,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
old_test_800,combined,42,L_relation,G_random,0.1,20,94,1,35,61,35,59,1,0,0,1,18,82,14,0,0,0,0,0,82,12,1,1,0,0,1,0,0,0,96,7,0.9791666666666666,0.9895833333333334,1.0,1.0,0.01639344262295082,0.016666666666666666,0.1875,18,0.1875,41723.6,8064.8,0.9794871794871794,0,2,0.03278688524590164,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1550.543313945487,76.29485738342981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
old_test_800,slack,42,L_relation,G_random,0.1,20,12,0,3,9,3,9,0,0,0,0,3,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,1,1.0,1.0,1.0,1.0,0.0,0.0,0.25,3,0.25,5065.4,1267.15,1.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1061.5696124631975,54.386796965904566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
old_test_800,workspace,42,L_relation,G_random,0.1,20,82,1,32,52,32,50,1,0,0,1,15,70,14,0,0,0,0,0,70,12,1,1,0,0,1,0,0,0,84,6,0.9761904761904762,0.9880952380952381,1.0,1.0,0.019230769230769232,0.0196078431372549,0.17857142857142858,15,0.17857142857142858,36658.2,6797.65,0.976068376068376,0,2,0.038461538461538464,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1084.2331075829345,53.26129729431761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
old_test_800,combined,42,L_relation,G_uncertainty,0.25,0,94,1,35,61,35,59,1,0,0,1,39,82,14,0,0,0,0,0,82,12,1,1,0,0,1,0,0,0,96,7,0.9791666666666666,0.9895833333333334,1.0,1.0,0.01639344262295082,0.016666666666666666,0.40625,39,0.40625,99017,17483,0.9794871794871794,0,2,0.03278688524590164,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
old_test_800,slack,42,L_relation,G_uncertainty,0.25,0,12,0,3,9,3,9,0,0,0,0,3,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,1,1.0,1.0,1.0,1.0,0.0,0.0,0.25,3,0.25,5653,1392,1.0,0,0,0.0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
